config_name,model,cell,task,repetition,trajectory_path,report_path,exit_status,evaluation_status,evaluation_error,resolved_present,resolved,model_responses,tool_calls,submission_present,category,origin,measurement_status,measurable,outcome,tokens,api_calls,wall_seconds
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-83217,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-83217/ansible_ansible-83217.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-83217/report.json,Submitted,completed,,True,True,9,8,True,solved,agent,measurable,True,1,38878,5,177.56
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-83217,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-83217/ansible_ansible-83217.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-83217/report.json,Submitted,completed,,True,True,22,21,True,solved,agent,measurable,True,1,145912,18,222.19
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-84999,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-84999/ansible_ansible-84999.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-84999/report.json,Submitted,completed,,True,False,1,0,False,no_action,agent,measurable,True,0,1704,0,143.82
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-84999,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-84999/ansible_ansible-84999.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-84999/report.json,Submitted,completed,,True,False,1,0,False,no_action,agent,measurable,True,0,1679,0,143.74
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85187,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85187/ansible_ansible-85187.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85187/report.json,Submitted,completed,,True,True,24,23,True,solved,agent,measurable,True,1,431784,23,533.93
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85187,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85187/ansible_ansible-85187.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85187/report.json,ExecutionFailed,completed,,True,False,18,18,False,timeout,agent,measurable,True,0,304125,17,809.11
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85488,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85488/ansible_ansible-85488.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85488/report.json,Submitted,completed,,True,False,1,0,False,no_action,agent,measurable,True,0,1497,0,144.86
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85488,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85488/ansible_ansible-85488.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85488/report.json,Submitted,completed,,True,False,26,25,True,failed_patch,agent,measurable,True,0,262528,25,219.56
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85516,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85516/ansible_ansible-85516.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85516/report.json,Submitted,completed,,True,True,74,73,True,solved,agent,measurable,True,1,2058456,73,290.67
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85516,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85516/ansible_ansible-85516.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85516/report.json,Submitted,completed,,True,True,76,75,True,solved,agent,measurable,True,1,2158135,75,310.88
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85709,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85709/ansible_ansible-85709.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85709/report.json,Submitted,completed,,True,False,1,0,False,no_action,agent,measurable,True,0,1538,0,148.53
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85709,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85709/ansible_ansible-85709.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85709/report.json,Submitted,completed,,True,False,24,23,True,failed_patch,agent,measurable,True,0,689484,23,271.38
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85728,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85728/ansible_ansible-85728.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85728/report.json,Submitted,completed,,True,True,31,30,True,solved,agent,measurable,True,1,251662,30,336.04
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85728,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85728/ansible_ansible-85728.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85728/report.json,Submitted,completed,,True,False,1,0,False,no_action,agent,measurable,True,0,1370,0,224.61
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85930,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85930/ansible_ansible-85930.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-85930/report.json,Submitted,completed,,True,True,56,55,True,solved,agent,measurable,True,1,2073445,53,356.29
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-85930,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85930/ansible_ansible-85930.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-85930/report.json,Submitted,completed,,True,True,53,52,True,solved,agent,measurable,True,1,1931059,50,270.55
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-86047,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-86047/ansible_ansible-86047.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/ansible_ansible-86047/report.json,Submitted,completed,,True,True,16,15,True,solved,agent,measurable,True,1,108050,9,177.02
main-run-glm,glm-4.5-air-t0,no_plan,ansible_ansible-86047,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-86047/ansible_ansible-86047.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/ansible_ansible-86047/report.json,Submitted,completed,,True,True,11,10,True,solved,agent,measurable,True,1,81086,10,182.74
main-run-glm,glm-4.5-air-t0,no_plan,getzep_graphiti-829,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/getzep_graphiti-829/getzep_graphiti-829.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/getzep_graphiti-829/report.json,Submitted,completed,,True,True,20,19,True,solved,agent,measurable,True,1,262723,16,266.64
main-run-glm,glm-4.5-air-t0,no_plan,getzep_graphiti-829,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/getzep_graphiti-829/getzep_graphiti-829.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/getzep_graphiti-829/report.json,Submitted,completed,,True,True,17,16,True,solved,agent,measurable,True,1,182445,16,259.03
main-run-glm,glm-4.5-air-t0,no_plan,getzep_graphiti-843,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/getzep_graphiti-843/getzep_graphiti-843.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/getzep_graphiti-843/report.json,Submitted,completed,,True,False,6,5,False,empty_patch,agent,measurable,True,0,16529,0,179.72
main-run-glm,glm-4.5-air-t0,no_plan,getzep_graphiti-843,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/getzep_graphiti-843/getzep_graphiti-843.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/getzep_graphiti-843/report.json,Submitted,completed,,True,False,5,4,False,empty_patch,agent,measurable,True,0,13349,0,157.11
main-run-glm,glm-4.5-air-t0,no_plan,huggingface_transformers-41359,run_0,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/huggingface_transformers-41359/huggingface_transformers-41359.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_0/huggingface_transformers-41359/report.json,Submitted,completed,,True,True,76,75,True,solved,agent,measurable,True,1,896212,75,335.26
main-run-glm,glm-4.5-air-t0,no_plan,huggingface_transformers-41359,run_1,experiments/2026-08-21_01-hauptrun/agentbench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/huggingface_transformers-41359/huggingface_transformers-41359.traj.json,experiments/2026-08-21_01-hauptrun/swebench/eth-sri_agentbench/no_plan/pi/glm-4.5-air-t0/run_1/huggingface_transformers-41359/report.json,Submitted,completed,,True,True,55,54,True,solved,agent,measurable,True,1,400108,54,258.76
